Name of hospital or clinic,Hospital rate,Location_Lat,Location_Lon,State,Number of Doctors,Number of patients in 2020,Number of patients in 2021,Number of patients in 2022,Number of patients in 2023,Number of patients in 2024,Number of patients in 2025,Types of treatment it contains,total cost of the hospital in 2020 (million AED),total cost of the hospital in 2021 (million AED),total cost of the hospital in 2022 (million AED),total cost of the hospital in 2023 (million AED),total cost of the hospital in 2024 (million AED),total cost of the hospital in 2025 (million AED),total income of the hospital in 2020 (million AED),total income of the hospital in 2021 (million AED),total income of the hospital in 2022 (million AED),total income of the hospital in 2023 (million AED),total income of the hospital in 2024 (million AED),total income of the hospital in 2025 (million AED),total number of surgeries in 2020,total number of surgeries in 2021,total number of surgeries in 2022,total number of surgeries in 2023,total number of surgeries in 2024,total number of surgeries in 2025,number of customers make reviews for the hospital,number of reviews,positive reviews,negative reviews,most repeated keywords for the hospital in positive reviews,most repeated keywords for the hospital in negative reviews
Al Amal Arabi,Very Good,25.375948,55.425968,Ajman,661,26434,24201,24203,25464,28085,25381,Neurology; Ophthalmology (Eye care); Pathology and Laboratory Services; Psychiatry and Mental Health; Endocrinology (Hormonal disorders); Dental and Oral Surgery; Intensive Care Unit (ICU); Emergency Medicine; Dermatology; Internal Medicine,196.26,198.48,196.73,195.31,201.34,214.37,286.48,191.55,259.66,179.06,249.92,279.56,1035,974,850,904,1108,1332,464,4176,2797,1379,Good bedside manner; Recommended,Chaotic; Unorganized
Saada Specialist Hospital,Very Bad,25.035257,55.477897,Sharjah,211,69217,64452,60576,59095,63307,61609,Infectious Diseases; Neurology; Endocrinology (Hormonal disorders); Radiology; Obstetrics and Gynecology (OB/GYN); Orthopedics; Oncology (Cancer treatment); Emergency Medicine; Internal Medicine; Anesthesiology; Dental and Oral Surgery; Gastroenterology (Digestive system); Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Ophthalmology (Eye care),165.19,170.97,175.39,175.73,190.26,194.92,220.92,189.43,227.19,219.61,284.65,266.32,941,868,1051,1166,1141,1155,877,39465,14133,25332,Modern,No empathy; Painful
Al Ein Salam,Very Good,25.093557,55.851934,Sharjah,774,75876,73902,68085,75618,83327,91872,Urology; Obstetrics and Gynecology (OB/GYN); Cardiology; Pediatrics; Gastroenterology (Digestive system); Physiotherapy and Rehabilitation; Ophthalmology (Eye care); Orthopedics; Infectious Diseases; Pulmonology (Respiratory care); Dermatology,67.32,71.14,72.71,79.86,80.81,86.83,88.69,102.68,61.7,115.99,101.43,88.35,4491,5292,6492,7456,7289,7483,844,6752,1473,5279,Human touch; Excellent; Accurate diagnosis; Kind,Crowded
Rahma Emirates International,Bad,25.164393,55.819401,Sharjah,860,41290,42924,47996,43541,46581,45118,Oncology (Cancer treatment); Neurology; Dental and Oral Surgery; Anesthesiology; Nephrology (Kidney care); Ophthalmology (Eye care); Radiology,67.61,71.58,68.49,75.12,79.37,75.56,57.07,71.06,86.53,108.71,99.67,77.77,1208,1136,1405,1581,1636,2008,127,7874,2175,5699,Human touch,Slow; Lack of privacy; Crowded; Unavailable doctors; Disorganized
Rahma Medical Center,Very Good,25.770555,55.996981,Ras Al Khaimah,836,30342,29709,33061,36513,36166,39884,Cardiology; Ophthalmology (Eye care); Dental and Oral Surgery; Pathology and Laboratory Services; Internal Medicine; Pulmonology (Respiratory care); Infectious Diseases; Anesthesiology; Nephrology (Kidney care); Oncology (Cancer treatment); Pediatrics,15.09,15.42,16.33,17.4,17.65,18.88,17.88,15.57,17.15,17.02,20.91,21.44,1660,1832,1594,1469,1641,1535,346,23874,15985,7889,Clean environment; Comforting; Recommended,Cold attitude
Noor Saada Medical Center,Bad,25.228163,56.310348,Fujairah,114,56584,59371,64526,65848,67382,68179,"Radiology; Dermatology; Neurology; Oncology (Cancer treatment); General Surgery; Physiotherapy and Rehabilitation; Pediatrics; Internal Medicine; Ophthalmology (Eye care); Infectious Diseases; Urology; Emergency Medicine; Cardiology; Ear, Nose, and Throat (ENT) / Otolaryngology",46.27,44.67,43.52,47.47,51.78,55.18,44.47,37.6,59.35,52.41,44.89,55.56,552,568,664,791,762,753,566,23772,5098,18674,Trustworthy,Rude; Stressed; Unorganized; No empathy
Hayat Saada,Good,24.214944,54.715583,Abu Dhabi,480,47954,48473,50117,45902,50890,58123,"Dermatology; Ear, Nose, and Throat (ENT) / Otolaryngology; Psychiatry and Mental Health; Orthopedics; Radiology; Pathology and Laboratory Services; Pulmonology (Respiratory care); Nephrology (Kidney care)",167.71,182.42,189.87,198.41,191.71,190.53,243.68,171.48,193.94,195.21,281.25,222.92,3884,4628,5758,6481,8067,8877,552,38088,28553,9535,Skilled; Recommended; Well-equipped,Billing issues
Al Amal Takhassusi Al Sihi,Bad,25.172103,56.162367,Fujairah,681,26641,26300,26579,27164,28117,27633,Radiology; Pulmonology (Respiratory care); Infectious Diseases; Endocrinology (Hormonal disorders); Pathology and Laboratory Services; Ophthalmology (Eye care); Internal Medicine; General Surgery; Oncology (Cancer treatment); Obstetrics and Gynecology (OB/GYN); Intensive Care Unit (ICU),78.3,80.09,79.4,78.57,83.08,89.78,113.51,81.09,98.81,86.16,75.55,89.42,1057,1134,1221,1375,1266,1145,689,51675,40609,11066,Skilled,Confusing; Chaotic; Not recommended; Overcrowded; Negligent
Dar Noor Medical Center,Good,25.495487,55.779269,Umm Al Quwain,68,38258,40571,41275,47057,52518,55978,Dermatology; Anesthesiology; Gastroenterology (Digestive system); Orthopedics; Pediatrics; Physiotherapy and Rehabilitation; Dental and Oral Surgery,161.91,162.39,160.24,167.34,164.58,180.3,181.65,155.85,229.39,224.16,139.36,178.47,2199,2672,2571,2801,3065,3207,701,25937,19399,6538,Well-managed; Clean environment; Positive experience; Advanced equipment,Unprofessional; Incompetent
Dental Center National,Very Bad,25.58335,55.729077,Ras Al Khaimah,415,47104,51873,48831,49995,46458,51719,"Oncology (Cancer treatment); Endocrinology (Hormonal disorders); Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Psychiatry and Mental Health; Cardiology",158.09,159.6,174.33,167.68,164.2,158.11,228.58,172.49,164.97,218.67,178.45,195.25,3044,3203,3991,4489,4296,5278,113,1130,299,831,Follow-up care; Personalized care,Delayed treatment; Poor follow-up; Indifferent; Unprofessional
Al Markaz Afia Jadeed,Very Good,25.371881,55.622419,Sharjah,690,83431,78511,78114,86019,91715,95019,Dermatology; Pathology and Laboratory Services; Gastroenterology (Digestive system); Oncology (Cancer treatment); Orthopedics; Internal Medicine; Physiotherapy and Rehabilitation,173.74,174.88,182.16,175.08,177.7,169.65,233.8,254.65,212.44,170.88,199.16,201.58,2340,2043,1959,1962,2229,2781,40,3760,1951,1809,Skilled; Satisfied; Trustworthy; Knowledgeable; Professional,Unsafe
Al Markaz Amal Medical Center,Bad,25.1371,56.239681,Fujairah,885,49074,53199,54690,61916,58776,58685,Emergency Medicine; Gastroenterology (Digestive system); Orthopedics; Cardiology; Intensive Care Unit (ICU); Dental and Oral Surgery; Oncology (Cancer treatment); Internal Medicine; Urology; Radiology; Pediatrics; Psychiatry and Mental Health; Neurology,26.19,28.65,27.88,29.45,30.79,31.57,21.97,23.5,36.23,30.83,35.48,30.87,2377,2623,3070,3422,3170,3064,960,38400,25639,12761,Efficient,Untrustworthy; Slow
Al Noor Clinic,Bad,25.483523,55.521304,Umm Al Quwain,736,86828,88703,95259,96838,90978,103159,Oncology (Cancer treatment); General Surgery; Physiotherapy and Rehabilitation; Orthopedics; Cardiology; Infectious Diseases; Obstetrics and Gynecology (OB/GYN),148.21,151.85,160.73,174.31,174.52,190.36,187.1,175.44,154.6,143.25,163.82,173.53,4496,4914,6121,6331,6677,6149,938,74102,48517,25585,Good bedside manner; Kind; Attentive,Unsafe; Overpriced; Negligent
Dar Hikma Clinic,Very Bad,24.603883,55.431953,Abu Dhabi,543,15206,17062,15363,14921,13933,15814,Cardiology; Psychiatry and Mental Health; Emergency Medicine; Obstetrics and Gynecology (OB/GYN); Oncology (Cancer treatment); Dental and Oral Surgery; Nephrology (Kidney care); Physiotherapy and Rehabilitation; Intensive Care Unit (ICU),15.84,16.92,18.47,17.59,18.19,18.95,15.5,15.92,18.18,20.39,23.71,25.44,1136,974,1196,1270,1266,1318,867,77163,56915,20248,Respect,Frustrating; Unprofessional; Chaotic; Not responsive
Hikma Polyclinic,Very Good,25.242709,55.696183,Sharjah,209,77071,70447,63433,64459,70417,74600,"Pediatrics; Psychiatry and Mental Health; Intensive Care Unit (ICU); Pulmonology (Respiratory care); Nephrology (Kidney care); Dermatology; Infectious Diseases; Ear, Nose, and Throat (ENT) / Otolaryngology; Orthopedics; Neurology; Pathology and Laboratory Services; Emergency Medicine; Gastroenterology (Digestive system); Internal Medicine; Urology",136.37,148.09,157.56,160.29,160.09,162.69,117.31,159.32,226.88,178.93,229.45,221.45,3190,2734,2388,2290,2604,2890,190,7600,5863,1737,Friendly; Human touch,Disrespectful; Overpriced; Incompetent
Dar Rahma Clinic,Bad,25.200291,55.44297,Sharjah,100,80358,81409,91638,84145,96149,95381,"Pulmonology (Respiratory care); Dermatology; Emergency Medicine; Nephrology (Kidney care); Pediatrics; Radiology; Oncology (Cancer treatment); General Surgery; Ear, Nose, and Throat (ENT) / Otolaryngology",46.73,49.01,48.47,50.41,51.41,52.14,46.37,67.37,54.74,62.6,65.1,73.39,4044,3597,4270,4439,5412,5884,430,20640,9875,10765,Good communication; Personalized care; Well-equipped; Attentive,Ignored; Negligent; Chaotic; Stressed
Wahat Rahma,Good,25.423816,55.830077,Sharjah,394,62621,68192,62372,61518,57524,65464,Oncology (Cancer treatment); Radiology; Urology; Emergency Medicine; Gastroenterology (Digestive system); General Surgery; Endocrinology (Hormonal disorders),93.58,98.67,104.38,105.73,106.16,107.69,139.77,128.62,131.59,118.81,96.16,92.48,471,585,554,472,411,403,429,9438,2762,6676,Supportive; Clean environment; Great staff; Follow-up care; Fast service,Overcrowded
Markaz Saada,Acceptable,23.343637,53.763994,Abu Dhabi,930,28576,31266,29598,28307,30375,29232,Emergency Medicine; Cardiology; Neurology; Anesthesiology; Pulmonology (Respiratory care); Orthopedics,131.4,143.6,142.09,145.93,153.61,146.71,179.82,154.06,133.64,198.67,139.13,191.39,2753,3233,3815,3936,4917,4744,281,15174,9006,6168,Good communication; Timely care; Clean; Courteous,Slow; Insensitive
Al Amal Dowaly,Very Bad,25.112419,56.175098,Fujairah,30,60922,59418,57105,53475,60895,57255,Ophthalmology (Eye care); Pulmonology (Respiratory care); Anesthesiology; Nephrology (Kidney care); Gastroenterology (Digestive system); Infectious Diseases; Orthopedics; Dental and Oral Surgery; Internal Medicine; Emergency Medicine; Pediatrics,62.03,63.05,68.94,72.53,70.65,72.44,76.6,86.15,70.29,64.98,89.48,108.06,2425,2573,3004,3210,3238,4021,372,24552,7190,17362,Timely care,Misdiagnosis; Crowded; Insensitive
Hayat Saada,Very Good,25.538659,55.783904,Umm Al Quwain,206,83938,91479,102042,99937,98826,113135,Ophthalmology (Eye care); Intensive Care Unit (ICU); Dental and Oral Surgery; Gastroenterology (Digestive system); Pediatrics; Cardiology; Orthopedics; Infectious Diseases,142.79,137.23,137.91,149.98,149.39,160.42,120.58,114.4,205.47,123.05,188.12,194.65,33,29,35,39,33,39,177,2301,1105,1196,Excellent; Professionalism; Well-managed; Respect,Disorganized
Al Burj Salam Mustaqbal,Acceptable,25.174021,55.666624,Sharjah,62,54103,61456,69196,69912,67930,76650,"Oncology (Cancer treatment); Obstetrics and Gynecology (OB/GYN); General Surgery; Ear, Nose, and Throat (ENT) / Otolaryngology; Pediatrics; Pulmonology (Respiratory care); Psychiatry and Mental Health; Infectious Diseases; Cardiology; Intensive Care Unit (ICU); Dental and Oral Surgery; Emergency Medicine; Pathology and Laboratory Services; Anesthesiology",123.71,123.84,118.77,126.06,135.69,147.86,107.91,102.43,167.62,106.11,202.92,214.73,1849,1694,1850,1632,1652,1862,41,2009,1384,625,Professionalism; Clean rooms; Advanced equipment; Friendly,Ignored; Poor follow-up; Noisy; Dirty
Al Hikma Specialist Hospital,Very Bad,25.482792,55.784556,Umm Al Quwain,297,80523,89375,93335,94436,103115,95709,"Radiology; Cardiology; Anesthesiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Dental and Oral Surgery; Orthopedics; Emergency Medicine; Intensive Care Unit (ICU); General Surgery; Neurology; Urology; Infectious Diseases",131.09,142.03,150.52,153.46,164.86,160.26,168.86,147.23,162.83,205.58,168.67,201.23,4306,5238,5891,5285,4973,4500,148,2220,915,1305,Well-managed,Poor hygiene; Untrustworthy; Arrogant
Al Ilaj Jadeed,Good,23.976845,52.822401,Abu Dhabi,999,84918,86553,93717,104267,116234,125064,General Surgery; Infectious Diseases; Obstetrics and Gynecology (OB/GYN); Internal Medicine; Cardiology; Psychiatry and Mental Health; Dermatology; Radiology; Orthopedics; Pathology and Laboratory Services; Pediatrics; Physiotherapy and Rehabilitation; Neurology; Anesthesiology,15.8,15.29,15.1,16.22,17.04,18.11,16.31,17.32,17.16,14.26,15.57,14.72,736,641,619,694,846,832,589,18259,6840,11419,Patient; Friendly,Unhygienic; Hidden charges; Dirty toilets
Al Noor Polyclinic,Very Good,25.015004,56.144398,Fujairah,300,20941,20488,21359,21040,21134,20212,"Anesthesiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Infectious Diseases; Physiotherapy and Rehabilitation; Endocrinology (Hormonal disorders); Internal Medicine; Emergency Medicine; Pathology and Laboratory Services",45.67,46.6,49.4,49.76,51.6,51.54,43.26,54.17,47.31,72.95,57.51,48.45,1688,1693,2098,2608,2324,2787,225,7425,2490,4935,Friendly; No delays; Well-equipped; Trustworthy; Great staff,Painful
Al Amal Khaleej Lil Tibb,Good,25.454988,55.759708,Umm Al Quwain,602,17784,19294,21044,21939,21104,21992,Emergency Medicine; Dental and Oral Surgery; Pediatrics; Gastroenterology (Digestive system); Anesthesiology; Pathology and Laboratory Services; Dermatology; Psychiatry and Mental Health; Urology; Oncology (Cancer treatment),45.25,46.75,47.87,48.54,52.29,54.36,37.67,53.76,68.36,48.19,57.82,52.21,395,457,481,480,584,653,339,23391,6607,16784,Compassionate; Advanced equipment; Professional; Painless; Fast service,Ignored
Al Wahat Amal Dowaly,Acceptable,25.098638,55.746595,Sharjah,143,87359,97679,89530,87426,97463,101026,Dental and Oral Surgery; Internal Medicine; General Surgery; Radiology; Anesthesiology; Pediatrics; Pulmonology (Respiratory care); Psychiatry and Mental Health; Ophthalmology (Eye care); Infectious Diseases; Physiotherapy and Rehabilitation; Oncology (Cancer treatment); Emergency Medicine; Intensive Care Unit (ICU),100.82,99.19,100.43,99.51,104.98,105.97,110.9,143,133.26,104.3,95.33,106.78,888,938,1083,1005,1006,892,891,85536,29758,55778,Caring; Kind; Attentive; Patient; Clean,Unavailable doctors; Untrustworthy; Disrespectful; Outdated equipment
Hayat Diagnostic Center,Acceptable,25.187894,56.175092,Fujairah,701,49979,45391,45719,44592,45620,42419,Pediatrics; Obstetrics and Gynecology (OB/GYN); Dermatology; Dental and Oral Surgery; Neurology; Anesthesiology; Endocrinology (Hormonal disorders); Cardiology; Pathology and Laboratory Services; Emergency Medicine,68.42,69.93,75.3,74.49,77.07,76.01,57.68,89.89,68.81,93.03,91.93,68.3,3929,4245,5148,5869,7175,7851,576,17856,6716,11140,Clean; Well-managed; Trustworthy; Quick response,Untrustworthy; Stressed; Overcrowded
Ein Hikma Medical Center,Bad,25.41105,55.443626,Ajman,771,19673,21238,23881,25196,23057,21784,Obstetrics and Gynecology (OB/GYN); Nephrology (Kidney care); Radiology; Dermatology; Emergency Medicine; Pediatrics; Anesthesiology; Ophthalmology (Eye care); Orthopedics; General Surgery; Physiotherapy and Rehabilitation; Oncology (Cancer treatment); Pathology and Laboratory Services,183.88,180.51,185.84,188.87,191.91,203.35,171.12,230.22,275.75,246.4,171.86,185.03,855,913,1064,1099,1114,1203,390,2340,864,1476,Seamless process; Personalized care,Hidden charges; No empathy
Al Hayat Ilaj Emirates,Very Bad,25.596586,55.748066,Ras Al Khaimah,425,62087,67671,74866,72685,82686,89173,Neurology; Infectious Diseases; General Surgery; Pediatrics; Gastroenterology (Digestive system); Radiology,196.47,211.84,209.35,211,215.32,205.59,226.32,294.09,203.95,230.06,309.06,195.27,4801,4584,4031,4746,4243,3661,531,45135,23199,21936,Excellent,Unprofessional; Unavailable doctors; Unorganized
Dar Afia Medical Center,Good,25.459941,55.760809,Sharjah,224,42171,44963,47491,44516,43820,39846,Anesthesiology; Radiology; Dermatology; Neurology; Psychiatry and Mental Health; Pulmonology (Respiratory care); Endocrinology (Hormonal disorders); Urology,54.37,52.4,53.09,56.17,54.21,52.47,78.37,46.82,69.01,47.46,56.41,64.9,2169,2499,2325,2888,2508,2421,644,16100,4188,11912,Supportive; Clean; Safe; Great staff,Disrespectful
Burj Noor Dowaly,Very Good,25.167974,56.263478,Fujairah,695,30549,32286,34928,35285,38540,39459,Ophthalmology (Eye care); Emergency Medicine; Radiology; Neurology; Cardiology; Anesthesiology; Intensive Care Unit (ICU); Obstetrics and Gynecology (OB/GYN); Pediatrics; Psychiatry and Mental Health; Nephrology (Kidney care); Oncology (Cancer treatment); Internal Medicine,165.82,181.39,194.72,194.93,198.99,203.16,244.33,184.96,174.04,287.03,202.98,271.68,362,364,415,436,374,400,485,7275,3945,3330,Reassuring; Comforting; Timely care; Modern; Personalized care,Incompetent
Al Wahat Afia,Good,25.327103,56.136537,Fujairah,902,39751,41901,47055,52575,56219,63397,Oncology (Cancer treatment); Pulmonology (Respiratory care); Intensive Care Unit (ICU); Orthopedics; Endocrinology (Hormonal disorders); Cardiology; Pediatrics,119,127.11,121.24,122.68,119.53,130.49,138.32,150.38,160.66,177.44,116.45,170.41,3061,3525,3857,3950,4455,3893,40,3320,1567,1753,Attentive; Follow-up care; Calm,Dirty
Wahat Ilaj Medical Center,Good,25.152396,55.840555,Sharjah,173,54847,57565,55033,50392,51522,48498,Radiology; Internal Medicine; Nephrology (Kidney care); Oncology (Cancer treatment); Pediatrics; General Surgery; Cardiology,158.38,170.04,175.67,171.01,174.81,176.4,209.29,181.91,188.78,196.41,248.69,154.15,2860,3166,3242,3097,3113,3255,239,20315,8325,11990,Safe; Good communication,Dirty
Wahat Hikma,Very Bad,25.140545,56.203846,Fujairah,284,39724,39237,41841,40320,42455,48435,"Radiology; Nephrology (Kidney care); Obstetrics and Gynecology (OB/GYN); Emergency Medicine; Internal Medicine; Physiotherapy and Rehabilitation; Ear, Nose, and Throat (ENT) / Otolaryngology; Ophthalmology (Eye care); Dental and Oral Surgery; Gastroenterology (Digestive system); Dermatology; Cardiology; Anesthesiology; Urology; Psychiatry and Mental Health",170.95,174.7,191.13,186.87,198.95,208.11,221,141.98,208.09,237.53,186.88,168.93,3273,3114,3741,3764,3210,3394,233,13980,7535,6445,Friendly,No explanation; Mismanaged; Not responsive
Al Ein Saada Polyclinic,Good,25.54624,55.985822,Ras Al Khaimah,160,9559,10768,11280,11878,12013,13132,Pulmonology (Respiratory care); Infectious Diseases; Pathology and Laboratory Services; Intensive Care Unit (ICU); Psychiatry and Mental Health; Internal Medicine; Obstetrics and Gynecology (OB/GYN),81.79,84.36,84.35,83.55,81.6,88.27,93.67,101.37,86.41,81.18,83.54,111.98,239,263,309,350,307,348,503,4024,3140,884,Thorough; Accurate diagnosis; Courteous; Excellent,Not responsive
Ein Saada Jadeed,Good,25.498201,55.782409,Umm Al Quwain,670,21241,23838,24035,22993,22867,24743,"Ear, Nose, and Throat (ENT) / Otolaryngology; Intensive Care Unit (ICU); Ophthalmology (Eye care); Pulmonology (Respiratory care); Dermatology; Gastroenterology (Digestive system); Cardiology",115.81,121.67,123.12,129.68,127.15,132.38,143.23,157.82,163.49,188.5,171.58,174.29,2394,2660,3121,3266,3978,4944,847,36421,25520,10901,Reassuring; Professionalism; Safe; Helpful,Not responsive; Ignored; Inattentive; Unorganized; Overpriced
Salam Specialist Hospital,Very Bad,25.734584,55.876488,Ras Al Khaimah,655,84801,78134,85947,98602,99299,111081,Urology; Cardiology; Emergency Medicine; Physiotherapy and Rehabilitation; Orthopedics; Pediatrics; Obstetrics and Gynecology (OB/GYN); Pathology and Laboratory Services; Oncology (Cancer treatment); Radiology; Internal Medicine; Dental and Oral Surgery,69.65,67.43,68.86,65.66,71.53,71.01,85.68,99.35,65.46,53.77,91.01,91.22,3158,3822,4428,5025,4965,5789,362,13394,9282,4112,Human touch; Professional; Helpful; Attentive,Inattentive; Poor service; Noisy
